obcina,regija,leto,stopnja.izobrazbe,stevilo.brezposelnih,vrsta.place,povprecna.placa
AJDOVŠČINA,Goriška,2017,OŠ ali manj,250,bruto,1471.64
AJDOVŠČINA,Goriška,2017,OŠ ali manj,250,neto,987.79
AJDOVŠČINA,Goriška,2018,OŠ ali manj,224,bruto,1523.35
AJDOVŠČINA,Goriška,2018,OŠ ali manj,224,neto,1014.56
AJDOVŠČINA,Goriška,2019,OŠ ali manj,204,bruto,1601.13
AJDOVŠČINA,Goriška,2019,OŠ ali manj,204,neto,1055.98
AJDOVŠČINA,Goriška,2020,OŠ ali manj,166,bruto,1668.23
AJDOVŠČINA,Goriška,2020,OŠ ali manj,166,neto,1112.12
AJDOVŠČINA,Goriška,2017,srednje poklicno izobraževanje,221,bruto,1471.64
AJDOVŠČINA,Goriška,2017,srednje poklicno izobraževanje,221,neto,987.79
AJDOVŠČINA,Goriška,2018,srednje poklicno izobraževanje,180,bruto,1523.35
AJDOVŠČINA,Goriška,2018,srednje poklicno izobraževanje,180,neto,1014.56
AJDOVŠČINA,Goriška,2019,srednje poklicno izobraževanje,175,bruto,1601.13
AJDOVŠČINA,Goriška,2019,srednje poklicno izobraževanje,175,neto,1055.98
AJDOVŠČINA,Goriška,2020,srednje poklicno izobraževanje,148,bruto,1668.23
AJDOVŠČINA,Goriška,2020,srednje poklicno izobraževanje,148,neto,1112.12
AJDOVŠČINA,Goriška,2017,"strokovno, splošno izobraževanje",187,bruto,1471.64
AJDOVŠČINA,Goriška,2017,"strokovno, splošno izobraževanje",187,neto,987.79
AJDOVŠČINA,Goriška,2018,"strokovno, splošno izobraževanje",173,bruto,1523.35
AJDOVŠČINA,Goriška,2018,"strokovno, splošno izobraževanje",173,neto,1014.56
AJDOVŠČINA,Goriška,2019,"strokovno, splošno izobraževanje",139,bruto,1601.13
AJDOVŠČINA,Goriška,2019,"strokovno, splošno izobraževanje",139,neto,1055.98
AJDOVŠČINA,Goriška,2020,"strokovno, splošno izobraževanje",128,bruto,1668.23
AJDOVŠČINA,Goriška,2020,"strokovno, splošno izobraževanje",128,neto,1112.12
AJDOVŠČINA,Goriška,2017,"izobraževanje prve, druge, tretje stopnje",141,bruto,1471.64
AJDOVŠČINA,Goriška,2017,"izobraževanje prve, druge, tretje stopnje",141,neto,987.79
AJDOVŠČINA,Goriška,2018,"izobraževanje prve, druge, tretje stopnje",122,bruto,1523.35
AJDOVŠČINA,Goriška,2018,"izobraževanje prve, druge, tretje stopnje",122,neto,1014.56
AJDOVŠČINA,Goriška,2019,"izobraževanje prve, druge, tretje stopnje",103,bruto,1601.13
AJDOVŠČINA,Goriška,2019,"izobraževanje prve, druge, tretje stopnje",103,neto,1055.98
AJDOVŠČINA,Goriška,2020,"izobraževanje prve, druge, tretje stopnje",92,bruto,1668.23
AJDOVŠČINA,Goriška,2020,"izobraževanje prve, druge, tretje stopnje",92,neto,1112.12
AJDOVŠČINA,Goriška,2017,Skupaj,799,bruto,1471.64
AJDOVŠČINA,Goriška,2017,Skupaj,799,neto,987.79
AJDOVŠČINA,Goriška,2018,Skupaj,699,bruto,1523.35
AJDOVŠČINA,Goriška,2018,Skupaj,699,neto,1014.56
AJDOVŠČINA,Goriška,2019,Skupaj,621,bruto,1601.13
AJDOVŠČINA,Goriška,2019,Skupaj,621,neto,1055.98
AJDOVŠČINA,Goriška,2020,Skupaj,534,bruto,1668.23
AJDOVŠČINA,Goriška,2020,Skupaj,534,neto,1112.12
ANKARAN,Obalno-kraška,2017,OŠ ali manj,48,bruto,1583.74
ANKARAN,Obalno-kraška,2017,OŠ ali manj,48,neto,1031.9
ANKARAN,Obalno-kraška,2018,OŠ ali manj,30,bruto,1654.04
ANKARAN,Obalno-kraška,2018,OŠ ali manj,30,neto,1073.09
ANKARAN,Obalno-kraška,2019,OŠ ali manj,25,bruto,1722.55
ANKARAN,Obalno-kraška,2019,OŠ ali manj,25,neto,1113.57
ANKARAN,Obalno-kraška,2020,OŠ ali manj,23,bruto,1876.64
ANKARAN,Obalno-kraška,2020,OŠ ali manj,23,neto,1213.04
ANKARAN,Obalno-kraška,2017,srednje poklicno izobraževanje,34,bruto,1583.74
ANKARAN,Obalno-kraška,2017,srednje poklicno izobraževanje,34,neto,1031.9
ANKARAN,Obalno-kraška,2018,srednje poklicno izobraževanje,28,bruto,1654.04
ANKARAN,Obalno-kraška,2018,srednje poklicno izobraževanje,28,neto,1073.09
ANKARAN,Obalno-kraška,2019,srednje poklicno izobraževanje,27,bruto,1722.55
ANKARAN,Obalno-kraška,2019,srednje poklicno izobraževanje,27,neto,1113.57
ANKARAN,Obalno-kraška,2020,srednje poklicno izobraževanje,29,bruto,1876.64
ANKARAN,Obalno-kraška,2020,srednje poklicno izobraževanje,29,neto,1213.04
ANKARAN,Obalno-kraška,2017,"strokovno, splošno izobraževanje",40,bruto,1583.74
ANKARAN,Obalno-kraška,2017,"strokovno, splošno izobraževanje",40,neto,1031.9
ANKARAN,Obalno-kraška,2018,"strokovno, splošno izobraževanje",43,bruto,1654.04
ANKARAN,Obalno-kraška,2018,"strokovno, splošno izobraževanje",43,neto,1073.09
ANKARAN,Obalno-kraška,2019,"strokovno, splošno izobraževanje",35,bruto,1722.55
ANKARAN,Obalno-kraška,2019,"strokovno, splošno izobraževanje",35,neto,1113.57
ANKARAN,Obalno-kraška,2020,"strokovno, splošno izobraževanje",31,bruto,1876.64
ANKARAN,Obalno-kraška,2020,"strokovno, splošno izobraževanje",31,neto,1213.04
ANKARAN,Obalno-kraška,2017,"izobraževanje prve, druge, tretje stopnje",27,bruto,1583.74
ANKARAN,Obalno-kraška,2017,"izobraževanje prve, druge, tretje stopnje",27,neto,1031.9
ANKARAN,Obalno-kraška,2018,"izobraževanje prve, druge, tretje stopnje",20,bruto,1654.04
ANKARAN,Obalno-kraška,2018,"izobraževanje prve, druge, tretje stopnje",20,neto,1073.09
ANKARAN,Obalno-kraška,2019,"izobraževanje prve, druge, tretje stopnje",22,bruto,1722.55
ANKARAN,Obalno-kraška,2019,"izobraževanje prve, druge, tretje stopnje",22,neto,1113.57
ANKARAN,Obalno-kraška,2020,"izobraževanje prve, druge, tretje stopnje",21,bruto,1876.64
