obcina,regija,leto,stevilo.studentk,stopnja.razlike
AJDOVŠČINA,Goriška,2012,135,5.4
AJDOVŠČINA,Goriška,2013,149,4.3
AJDOVŠČINA,Goriška,2014,144,5.7
AJDOVŠČINA,Goriška,2015,148,6.1
AJDOVŠČINA,Goriška,2016,152,4.7
AJDOVŠČINA,Goriška,2017,152,5.7
AJDOVŠČINA,Goriška,2018,168,7.2
AJDOVŠČINA,Goriška,2019,165,6.6
AJDOVŠČINA,Goriška,2020,162,2.8
ANKARAN,Obalno-kraška,2012,NA,NA
ANKARAN,Obalno-kraška,2013,NA,NA
ANKARAN,Obalno-kraška,2014,100,NA
ANKARAN,Obalno-kraška,2015,136,9.8
ANKARAN,Obalno-kraška,2016,154,9.3
ANKARAN,Obalno-kraška,2017,140,8.2
ANKARAN,Obalno-kraška,2018,161,8.6
ANKARAN,Obalno-kraška,2019,164,6.5
ANKARAN,Obalno-kraška,2020,181,7.8
APAČE,Pomurska,2012,185,1.9
APAČE,Pomurska,2013,175,4.9
APAČE,Pomurska,2014,167,7.0
APAČE,Pomurska,2015,183,7.0
APAČE,Pomurska,2016,154,9.9
APAČE,Pomurska,2017,157,8.8
APAČE,Pomurska,2018,122,10.3
APAČE,Pomurska,2019,126,13.2
APAČE,Pomurska,2020,173,7.3
BELTINCI,Pomurska,2012,134,0.9
BELTINCI,Pomurska,2013,132,3.6
BELTINCI,Pomurska,2014,158,2.5
BELTINCI,Pomurska,2015,178,2.1
BELTINCI,Pomurska,2016,165,5.9
BELTINCI,Pomurska,2017,165,8.0
BELTINCI,Pomurska,2018,179,9.6
BELTINCI,Pomurska,2019,161,8.9
BELTINCI,Pomurska,2020,148,4.6
BENEDIKT,Podravska,2012,144,-0.7
BENEDIKT,Podravska,2013,176,0.9
BENEDIKT,Podravska,2014,184,-0.4
BENEDIKT,Podravska,2015,210,3.8
BENEDIKT,Podravska,2016,261,5.4
BENEDIKT,Podravska,2017,261,6.1
BENEDIKT,Podravska,2018,267,12.4
BENEDIKT,Podravska,2019,245,11.3
BENEDIKT,Podravska,2020,159,4.2
BISTRICA OB SOTLI,Posavska,2012,179,-1.9
BISTRICA OB SOTLI,Posavska,2013,115,-2.8
BISTRICA OB SOTLI,Posavska,2014,140,0.6
BISTRICA OB SOTLI,Posavska,2015,174,3.8
BISTRICA OB SOTLI,Posavska,2016,125,6.8
BISTRICA OB SOTLI,Posavska,2017,176,5.7
BISTRICA OB SOTLI,Posavska,2018,132,6.8
BISTRICA OB SOTLI,Posavska,2019,112,2.3
BISTRICA OB SOTLI,Posavska,2020,121,-6.3
BLED,Gorenjska,2012,117,5.0
BLED,Gorenjska,2013,126,5.9
BLED,Gorenjska,2014,124,5.9
BLED,Gorenjska,2015,130,4.5
BLED,Gorenjska,2016,123,4.6
BLED,Gorenjska,2017,121,3.6
BLED,Gorenjska,2018,141,5.5
BLED,Gorenjska,2019,154,3.9
BLED,Gorenjska,2020,173,0.6
BLOKE,Primorsko-notranjska,2012,80,-2.2
BLOKE,Primorsko-notranjska,2013,117,4.0
BLOKE,Primorsko-notranjska,2014,109,3.0
BLOKE,Primorsko-notranjska,2015,81,0.5
BLOKE,Primorsko-notranjska,2016,109,4.4
BLOKE,Primorsko-notranjska,2017,139,0.9
BLOKE,Primorsko-notranjska,2018,83,-1.0
BLOKE,Primorsko-notranjska,2019,72,-4.4
BLOKE,Primorsko-notranjska,2020,85,-8.4
BOHINJ,Gorenjska,2012,155,7.0
