"Plaèna vrzel med spoloma po obèinah prebivališèa, Slovenija, letno"

"OBÈINE";"2017";"2018";"2019";"2020"
"SLOVENIJA";6.0;7.0;5.8;2.2
"Ajdovšèina";5.7;7.2;6.6;2.8
"Beltinci";8.0;9.6;8.9;4.6
"Bled";3.6;5.5;3.9;0.6
"Bohinj";9.9;9.2;8.5;5.5
"Borovnica";9.5;10.6;9.1;3.6
"Bovec";16.9;16.8;14.5;7.9
"Brda";6.7;10.1;6.9;3.4
"Brezovica";7.2;8.1;7.2;7.0
"Brežice";6.0;8.4;6.8;4.7
"Tišina";6.5;11.2;9.5;7.1
"Celje";1.7;2.7;0.2;-4.7
"Cerklje na Gorenjskem";11.3;11.6;9.8;6.4
"Cerknica";3.5;4.7;5.0;2.7
"Cerkno";14.2;13.2;11.8;8.7
"Èrenšovci";8.8;9.7;8.1;4.1
"Èrna na Koroškem";15.5;13.1;11.9;6.2
"Èrnomelj";1.1;2.8;2.5;-0.8
"Destrnik";9.8;11.5;11.6;6.9
"Divaèa";8.4;12.3;13.1;8.1
"Dobrepolje";5.4;9.5;7.4;1.2
"Dobrova - Polhov Gradec";5.2;7.8;5.3;0.0
"Dol pri Ljubljani";5.8;6.7;7.7;4.4
"Domžale";7.7;8.2;6.4;3.1
"Dornava";14.4;15.3;14.7;6.4
"Dravograd";8.3;8.6;6.9;3.2
"Duplek";7.2;9.6;9.5;5.8
"Gorenja vas - Poljane";11.9;12.7;11.6;8.9
"Gorišnica";15.2;15.0;13.4;6.8
"Gornja Radgona";8.5;11.5;8.3;1.8
"Gornji Grad";7.7;9.3;10.2;2.4
"Gornji Petrovci";16.6;18.7;19.8;10.3
"Grosuplje";1.2;1.0;-0.7;-2.6
"Šalovci";7.4;4.4;6.4;2.7
"Hrastnik";8.5;9.3;9.4;4.2
"Hrpelje - Kozina";7.3;9.0;7.9;4.7
"Idrija";9.4;6.7;5.1;0.4
"Ig";-1.5;0.6;-0.2;-3.6
"Ilirska Bistrica";5.6;8.8;8.6;5.7
"Ivanèna Gorica";1.7;3.5;1.1;-2.5
"Izola/Isola";8.7;7.6;7.2;2.9
"Jesenice";11.4;11.7;11.3;5.6
"Juršinci";14.7;13.4;11.1;5.2
"Kamnik";7.2;7.6;6.0;2.6
"Kanal";5.6;6.2;5.3;-0.5
"Kidrièevo";9.7;11.4;10.3;5.1
"Kobarid";13.0;9.7;8.6;5.0
"Kobilje";15.4;13.5;14.2;13.4
"Koèevje";3.0;5.2;6.6;2.3
"Komen";4.9;4.6;5.2;1.6
