"Povpreène meseène plaèe po obèinah, Slovenija, letno"

"OBÈINE";"Povpreèna meseèna bruto plaèa 2017";"Povpreèna meseèna bruto plaèa 2018";"Povpreèna meseèna bruto plaèa 2019";"Povpreèna meseèna bruto plaèa 2020";"Povpreèna meseèna neto plaèa 2017";"Povpreèna meseèna neto plaèa 2018";"Povpreèna meseèna neto plaèa 2019";"Povpreèna meseèna neto plaèa 2020"
"SLOVENIJA";1626.95;1681.55;1753.84;1856.20;1062.00;1092.74;1133.50;1208.65
"Ajdovšèina";1471.64;1523.35;1601.13;1668.23;987.79;1014.56;1055.98;1112.12
"Ankaran";1583.74;1654.04;1722.55;1876.64;1031.90;1073.09;1113.57;1213.04
"Apaèe";1391.33;1411.60;1463.82;1580.87;935.39;946.65;978.90;1061.52
"Beltinci";1313.11;1360.31;1420.35;1494.70;886.47;915.36;953.26;1007.20
"Benedikt";1411.42;1388.28;1446.04;1522.18;950.53;934.30;966.69;1017.28
"Bistrica ob Sotli";1420.16;1485.85;1585.62;1846.23;954.98;990.28;1042.67;1204.63
"Bled";1539.73;1612.65;1668.38;1713.32;1009.22;1051.54;1083.43;1120.64
"Bloke";1302.67;1391.41;1502.13;1593.58;881.85;933.69;997.50;1060.80
"Bohinj";1270.18;1335.03;1406.27;1428.11;865.32;901.80;942.68;964.97
"Borovnica";1513.41;1516.68;1554.71;1610.38;975.54;978.76;1004.54;1051.22
"Bovec";1436.20;1461.60;1527.47;1640.49;967.27;978.03;1013.69;1095.34
"Braslovèe";1470.69;1561.30;1588.18;1645.95;975.76;1027.91;1046.48;1098.80
"Brda";1473.20;1530.48;1595.50;1549.15;989.64;1022.86;1053.76;1034.99
"Brezovica";1415.31;1460.50;1560.27;1665.99;938.63;964.31;1025.21;1103.02
"Brežice";1462.56;1491.18;1565.32;1698.83;972.63;987.83;1029.86;1117.05
"Cankova";1330.71;1380.59;1437.04;1560.95;901.84;932.42;965.71;1050.54
"Celje";1568.44;1613.60;1680.24;1783.26;1030.70;1055.86;1093.56;1166.65
"Cerklje na Gorenjskem";2323.67;2354.53;2329.59;2182.33;1438.70;1445.17;1433.90;1387.58
"Cerknica";1358.13;1393.02;1448.53;1529.34;910.52;928.44;959.86;1019.99
"Cerkno";1293.57;1351.53;1408.25;1469.91;868.67;912.43;949.08;998.31
"Cerkvenjak";1298.32;1284.38;1407.60;1589.92;873.47;865.25;939.26;1057.59
"Cirkulane";1352.27;1463.73;1458.62;1527.77;906.72;966.59;970.61;1004.52
"Èrenšovci";1392.04;1463.81;1519.44;1611.46;923.10;964.58;997.24;1061.66
"Èrna na Koroškem";1572.48;1645.75;1703.61;1855.49;1032.22;1082.46;1112.79;1213.39
"Èrnomelj";1354.00;1412.17;1480.52;1558.11;908.87;941.58;979.68;1034.20
"Destrnik";1406.17;1504.18;1463.85;1585.44;943.87;998.57;974.38;1046.24
"Divaèa";1480.55;1507.38;1548.82;1695.69;990.16;1001.75;1022.72;1123.10
"Dobje";1669.27;1644.14;1787.15;1876.33;1088.25;1072.87;1156.58;1229.87
"Dobrepolje";1282.72;1336.89;1422.27;1534.61;866.79;900.47;954.19;1032.80
"Dobrna";1352.55;1404.01;1469.12;1647.62;909.19;937.49;975.49;1091.83
"Dobrova - Polhov Gradec";1342.71;1372.15;1458.86;1501.37;902.82;920.14;974.23;1010.70
"Dobrovnik/Dobronak";1452.06;1501.04;1553.96;1634.08;963.28;991.65;1023.10;1078.33
