"Prebivalstvo po starosti, obèine, Slovenija, polletno"

"OBÈINE";"2017H1 Starost - SKUPAJ";"2017H2 Starost - SKUPAJ";"2018H1 Starost - SKUPAJ";"2018H2 Starost - SKUPAJ";"2019H1 Starost - SKUPAJ";"2019H2 Starost - SKUPAJ";"2020H1 Starost - SKUPAJ";"2020H2 Starost - SKUPAJ";"2021H1 Starost - SKUPAJ";"2021H2 Starost - SKUPAJ"
"SLOVENIJA";2065895;2066161;2066880;2070050;2080908;2089310;2095861;2100126;2108977;2107007
"Ajdovšèina";19093;19174;19130;19154;19249;19364;19418;19671;19704;19741
"Ankaran/Ancarano";3229;3205;3209;3216;3206;3215;3224;3253;3261;3249
"Apaèe";3544;3558;3546;3510;3516;3532;3533;3541;3556;3556
"Beltinci";8233;8257;8183;8159;8104;8098;8059;8044;8068;8110
"Benedikt";2486;2505;2514;2559;2577;2584;2615;2611;2614;2661
"Bistrica ob Sotli";1353;1351;1346;1350;1327;1333;1336;1341;1356;1370
"Bled";7981;7914;7873;7835;7835;7846;7868;7983;8217;8239
"Bloke";1522;1529;1532;1529;1555;1567;1564;1603;1616;1590
"Bohinj";5149;5138;5125;5103;5105;5118;5145;5360;5611;5771
"Borovnica";4376;4408;4412;4421;4483;4547;4579;4625;4664;4636
"Bovec";3082;3066;3049;3052;3048;3074;3073;3193;3245;3204
"Braslovèe";5556;5567;5524;5528;5523;5584;5639;5640;5656;5669
"Brda";5625;5624;5623;5613;5602;5632;5619;5613;5639;5641
"Brezovica";12092;12126;12186;12323;12412;12527;12671;12771;12785;12818
"Brežice";24204;24143;24086;24089;24084;24157;24051;24250;24419;24346
"Cankova";1794;1784;1755;1748;1735;1724;1734;1746;1753;1759
"Celje";49380;49376;49377;49538;49473;49602;49540;49069;49007;48847
"Cerklje na Gorenjskem";7569;7585;7619;7608;7632;7712;7769;7796;7859;7875
"Cerknica";11494;11519;11491;11502;11554;11625;11580;11668;11691;11681
"Cerkno";4602;4592;4588;4584;4580;4577;4547;4588;4547;4542
"Cerkvenjak";2074;2069;2037;2048;2058;2080;2083;2170;2171;2135
"Cirkulane";2344;2331;2324;2348;2391;2362;2345;2374;2378;2377
"Èrenšovci";3951;3953;3926;3958;3949;3958;3968;3995;3972;3984
"Èrna na Koroškem";3308;3319;3314;3301;3303;3281;3285;3271;3252;3219
"Èrnomelj";14365;14310;14313;14293;14299;14307;14241;14318;14308;14337
"Destrnik";2544;2538;2554;2583;2585;2617;2643;2640;2647;2650
"Divaèa";4000;4067;4085;4093;4157;4195;4213;4255;4334;4324
"Dobje";977;966;965;962;966;965;949;942;934;948
"Dobrepolje";3870;3891;3881;3847;3856;3838;3878;3894;3882;3883
"Dobrna";2226;2219;2208;2221;2226;2240;2234;2241;2250;2266
"Dobrova - Polhov Gradec";7618;7661;7661;7623;7664;7752;7800;7830;7843;7818
"Dobrovnik/Dobronak";1274;1282;1291;1290;1284;1287;1284;1273;1293;1287
"Dol pri Ljubljani";5961;5982;6008;6131;6218;6295;6310;6315;6378;6333
"Dolenjske Toplice";3447;3435;3436;3471;3489;3525;3553;3570;3593;3570
"Domžale";35513;35659;35675;35917;36264;36429;36675;36648;36683;36792
"Dornava";2905;2896;2885;2897;2892;2894;2902;2910;2896;2862
"Dravograd";8856;8857;8799;8787;8783;8849;8884;8891;8844;8849
"Duplek";6803;6822;6890;6889;6937;6955;6996;6978;6959;7017
"Gorenja vas - Poljane";7500;7527;7541;7532;7539;7560;7557;7631;7665;7666
"Gorišnica";3968;3993;4025;4054;4069;4097;4112;4152;4161;4195
"Gorje";2816;2807;2792;2776;2762;2751;2738;2759;2769;2800
"Gornja Radgona";8447;8427;8403;8401;8392;8401;8417;8439;8474;8466
"Gornji Grad";2547;2541;2543;2535;2511;2506;2476;2490;2480;2495
"Gornji Petrovci";2058;2045;2013;1988;1985;1992;1995;2000;2040;2007
"Grad";2110;2104;2105;2093;2076;2063;2042;2055;2087;2077
"Grosuplje";20284;20520;20672;20855;21013;21265;21314;21406;21398;21279
"Hajdina";3747;3737;3745;3763;3797;3850;3879;3905;3938;3902
"Hoèe - Slivnica";11285;11280;11415;11561;11768;11848;11753;11721;11720;11755
"Hodoš/Hodos";367;366;362;359;354;358;353;355;369;361
"Horjul";2980;2990;3017;3018;3016;3032;3024;3014;2985;2997
"Hrastnik";9269;9210;9188;9191;9154;9140;9113;9139;9058;8980
"Hrpelje - Kozina";4371;4389;4402;4426;4467;4534;4604;4671;4851;4874
"Idrija";11800;11798;11757;11730;11748;11797;11811;11793;11735;11723
"Ig";7277;7339;7366;7441;7463;7577;7617;7595;7656;7707
"Ilirska Bistrica";13482;13431;13329;13313;13340;13290;13297;13337;13379;13354
"Ivanèna Gorica";16361;16456;16544;16611;16793;16880;17008;17235;17538;17587
"Izola/Isola";16015;16009;16015;16099;16322;16367;16486;16589;16737;16717
"Jesenice";20754;20714;20759;20814;20991;21168;21340;21519;21679;21653
"Jezersko";625;627;629;627;634;635;625;645;666;676
"Juršinci";2375;2381;2375;2364;2362;2367;2380;2397;2421;2456
"Kamnik";29416;29458;29487;29512;29686;29847;29925;29933;29989;29953
"Kanal";5342;5347;5311;5300;5301;5304;5291;5295;5289;5228
"Kidrièevo";6417;6428;6450;6480;6495;6497;6541;6526;6539;6554
"Kobarid";4105;4117;4104;4097;4079;4078;4052;4045;4032;4061
"Kobilje";560;561;559;550;542;545;542;540;540;538
"Koèevje";15881;15822;15771;15681;15686;15688;15674;15702;15644;15620
"Komen";3523;3525;3537;3523;3534;3546;3529;3549;3655;3631
"Komenda";6108;6110;6192;6239;6268;6345;6387;6422;6444;6469
"Koper/Capodistria";51361;51641;51794;51828;52234;52540;52630;52773;53292;53440
"Kostanjevica na Krki";2425;2441;2437;2431;2450;2445;2432;2443;2446;2443
"Kostel";640;637;637;648;639;643;635;674;691;688
"Kozje";3077;3062;3054;3049;3037;3053;2989;3010;3030;3039
"Kranj";56081;56047;55950;55795;56267;56715;57065;57133;57185;56784
"Kranjska Gora";5286;5225;5212;5219;5201;5206;5225;5590;7522;7970
"Križevci";3613;3618;3568;3574;3560;3545;3537;3542;3549;3536
"Krško";25853;25802;25833;25844;25996;26117;26224;26078;25904;25775
"Kungota";4788;4774;4762;4737;4705;4734;4724;4796;4844;4873
"Kuzma";1577;1562;1555;1564;1573;1574;1573;1581;1624;1661
"Laško";13145;13131;13081;13028;13006;13023;13067;13085;13123;13059
"Lenart";8251;8281;8287;8343;8432;8443;8502;8532;8512;8518
"Lendava/Lendva";10506;10437;10406;10407;10411;10464;10426;10474;10486;10404
"Litija";15215;15332;15317;15342;15356;15429;15499;15593;15743;15692
"Ljubljana";288919;288250;289518;289832;292988;294113;295504;294054;294464;293822
"Ljubno";2572;2566;2545;2558;2541;2547;2550;2564;2576;2561
"Ljutomer";11374;11358;11329;11329;11261;11265;11268;11233;11233;11214
"Log - Dragomer";3653;3656;3631;3681;3669;3654;3656;3642;3620;3647
"Logatec";13802;13919;13976;14048;14150;14232;14396;14514;14681;14694
"Loška dolina";3835;3813;3731;3739;3744;3797;3757;3770;3703;3711
"Loški Potok";1863;1850;1838;1830;1798;1810;1789;1814;1816;1796
"Lovrenc na Pohorju";3055;3026;3014;2998;2979;2974;2963;2982;2988;2967
"Luèe";1490;1480;1472;1481;1462;1452;1448;1444;1454;1469
"Lukovica";5761;5777;5799;5810;5838;5882;5890;5907;5888;5949
"Majšperk";4016;4013;4021;4028;4042;4067;4056;4042;4060;4046
"Makole";2025;2020;2019;2013;2015;2025;2010;2042;2051;2024
"Maribor";111079;110461;110871;110513;112065;112095;112682;112395;113778;112838
"Markovci";4012;4030;3999;4005;4014;4000;4039;4019;4025;4026
"Medvode";16236;16346;16362;16488;16573;16651;16829;16781;16811;16785
"Mengeš";7752;7877;7917;7976;8117;8150;8279;8402;8411;8481
"Metlika";8325;8355;8339;8345;8375;8397;8470;8458;8480;8446
"Mežica";3573;3575;3541;3548;3565;3559;3595;3596;3598;3579
"Miklavž na Dravskem polju";6566;6589;6553;6592;6744;6828;6929;6980;6996;7013
"Miren - Kostanjevica";4838;4848;4858;4885;4949;4976;4977;4976;5029;5057
"Mirna";2555;2576;2575;2588;2616;2622;2649;2689;2683;2671
"Mirna Peè";2933;2956;2962;2949;2974;2987;2988;3018;3034;3064
"Mislinja";4561;4580;4557;4557;4544;4561;4566;4567;4520;4553
"Mokronog - Trebelno";3045;3015;3033;3082;3057;3080;3089;3138;3164;3146
"Moravèe";5309;5332;5328;5354;5414;5435;5449;5479;5469;5489
"Moravske Toplice";5831;5830;5826;5813;5812;5853;5837;5879;5958;5981
"Mozirje";4038;4050;4092;4112;4106;4133;4150;4216;4244;4267
"Murska Sobota";18870;18858;18734;18752;18730;18742;18758;18684;18622;18547
"Muta";3389;3387;3382;3377;3383;3407;3414;3415;3417;3407
"Naklo";5350;5339;5377;5351;5422;5402;5384;5417;5431;5392
"Nazarje";2582;2598;2588;2600;2623;2608;2639;2650;2611;2641
"Nova Gorica";31825;31780;31638;31691;31799;31932;31884;31881;31845;31835
"Novo mesto";36433;36435;36533;36769;37063;37280;37587;37430;37398;37339
"Odranci";1631;1632;1621;1633;1641;1644;1632;1630;1619;1613
"Oplotnica";4099;4097;4100;4123;4118;4130;4137;4146;4154;4125
"Ormož";12213;12185;12112;12077;11942;11968;11906;11916;11886;11913
"Osilnica";377;369;370;365;369;366;353;347;327;325
"Pesnica";7365;7398;7369;7307;7331;7360;7410;7457;7508;7508
"Piran/Pirano";17782;17667;17643;17613;17671;17692;17676;18079;18457;18441
"Pivka";6073;6061;6044;6112;6162;6176;6201;6196;6190;6222
"Podèetrtek";3353;3341;3353;3406;3430;3434;3446;3529;3614;3629
"Podlehnik";1880;1876;1865;1862;1817;1790;1801;1825;1853;1851
"Podvelka";2365;2368;2358;2354;2355;2344;2339;2354;2365;2342
"Poljèane";4432;4412;4360;4389;4431;4459;4449;4469;4467;4486
"Polzela";6176;6204;6172;6196;6191;6224;6258;6346;6321;6374
"Postojna";16176;16194;16207;16120;16189;16363;16442;16518;16675;16699
"Prebold";5067;5054;5068;5052;5084;5125;5103;5155;5210;5245
"Preddvor";3597;3596;3619;3659;3688;3697;3714;3776;3780;3800
"Prevalje";6753;6767;6797;6827;6794;6812;6799;6829;6800;6791
"Ptuj";23117;23112;23162;23214;23257;23443;23530;23636;23611;23531
"Puconci";5948;5944;5938;5917;5881;5892;5873;5861;5904;5892
"Raèe - Fram";7150;7140;7247;7292;7371;7433;7531;7549;7623;7711
"Radeèe";4240;4201;4211;4202;4165;4169;4139;4142;4164;4147
"Radenci";5160;5158;5151;5158;5108;5107;5112;5132;5098;5084
"Radlje ob Dravi";6184;6205;6191;6205;6185;6183;6169;6178;6164;6168
"Radovljica";18822;18899;18872;18902;19025;19053;19072;19034;19195;19342
"Ravne na Koroškem";11302;11314;11253;11241;11294;11315;11348;11343;11289;11276
"Razkrižje";1289;1281;1268;1274;1265;1269;1277;1296;1265;1249
"Reèica ob Savinji";2308;2289;2267;2279;2314;2333;2322;2369;2355;2347
"Renèe - Vogrsko";4365;4330;4307;4345;4354;4366;4371;4361;4383;4372
"Ribnica";9390;9385;9377;9424;9483;9513;9527;9619;9644;9634
"Ribnica na Pohorju";1179;1182;1148;1138;1128;1125;1116;1127;1142;1147
"Rogaška Slatina";10994;11024;11002;11070;11057;11129;11132;11210;11323;11396
"Rogašovci";3065;3080;3084;3068;3060;3070;3024;3046;3114;3123
"Rogatec";3051;3057;3042;3047;3060;3094;3106;3105;3138;3084
"Ruše";7075;7114;7087;7076;7070;7038;7017;7002;7055;7063
"Selnica ob Dravi";4470;4462;4480;4478;4494;4479;4493;4579;4562;4534
"Semiè";3798;3786;3767;3766;3824;3838;3864;3885;3887;3877
"Sevnica";17469;17484;17446;17502;17537;17586;17642;17729;17639;17651
"Sežana";13236;13243;13276;13287;13425;13524;13551;13702;13802;13818
"Slovenj Gradec";16621;16593;16525;16576;16596;16599;16591;16609;16595;16671
"Slovenska Bistrica";25468;25484;25524;25552;25599;25690;25827;25890;25949;25969
"Slovenske Konjice";14726;14781;14848;14912;14917;14993;15042;15161;15263;15241
"Sodražica";2184;2173;2171;2187;2177;2191;2185;2215;2249;2232
"Solèava";521;521;513;520;514;517;513;524;529;526
"Središèe ob Dravi";2019;1998;1977;1970;1957;1951;1902;1921;1919;1924
"Starše";4005;4013;3973;3975;3974;4011;4046;4034;4081;4056
"Straža";3837;3870;3873;3897;3912;3912;3936;3910;3881;3880
"Sveta Ana";2309;2290;2286;2271;2285;2297;2294;2298;2323;2336
"Sveta Trojica v Slov. goricah";2071;2061;2065;2054;2078;2083;2101;2161;2193;2215
"Sveti Andraž v Slov. goricah";1143;1144;1157;1175;1180;1187;1180;1184;1203;1193
"Sveti Jurij ob Šèavnici";2827;2846;2830;2821;2806;2788;2782;2789;2834;2850
"Sveti Jurij v Slov. goricah";2097;2079;2055;2063;2075;2083;2098;2096;2114;2105
"Sveti Tomaž";2006;2016;2011;2019;2015;1998;1988;2007;2007;2032
"Šalovci";1430;1422;1411;1400;1392;1383;1380;1381;1388;1390
"Šempeter - Vrtojba";6244;6202;6168;6201;6234;6243;6292;6245;6292;6219
"Šenèur";8557;8605;8592;8600;8650;8756;8814;8797;8829;8818
"Šentilj";8371;8366;8521;8452;8438;8391;8351;8324;8375;8352
"Šentjernej";7094;7109;7062;7107;7125;7157;7199;7216;7225;7223
"Šentjur";19001;19046;18971;19030;19084;19186;19225;19333;19378;19349
"Šentrupert";2853;2891;2908;2900;2947;2978;2969;2983;2898;2943
"Škocjan";3267;3259;3261;3280;3290;3328;3352;3410;3429;3413
"Škofja Loka";22935;22889;22919;22991;23076;23216;23297;23336;23462;23535
"Škofljica";10917;10997;11098;11101;11180;11419;11577;11692;11657;11620
"Šmarje pri Jelšah";10253;10285;10227;10272;10256;10278;10271;10243;10375;10378
"Šmarješke Toplice";3296;3282;3310;3330;3378;3400;3462;3507;3521;3513
"Šmartno ob Paki";3203;3212;3224;3244;3261;3271;3265;3291;3278;3273
"Šmartno pri Litiji";5545;5546;5565;5575;5603;5629;5642;5672;5661;5664
"Šoštanj";8641;8697;8667;8693;8701;8735;8784;8870;8847;8782
"Štore";4242;4256;4257;4332;4616;4576;4529;4511;4477;4451
"Tabor";1647;1658;1668;1657;1645;1659;1669;1667;1670;1674
