"Prebivalstvo, staro 15 ali veè let, po izobrazbi in spolu, obèine, letno"

"SPOL";"OBÈINE";"2012 Osnovnošolska ali manj - Skupaj";"2012 Srednješolska - Skupaj";"2012 Višješolska, visokošolska - Skupaj";"2012 Visokošolska 1. stopnje ipd.";"2012 Visokošolska 2. stopnje ipd.";"2012 Visokošolska 3. stopnje ipd.";"2013 Osnovnošolska ali manj - Skupaj";"2013 Srednješolska - Skupaj";"2013 Višješolska, visokošolska - Skupaj";"2013 Visokošolska 1. stopnje ipd.";"2013 Visokošolska 2. stopnje ipd.";"2013 Visokošolska 3. stopnje ipd.";"2014 Osnovnošolska ali manj - Skupaj";"2014 Srednješolska - Skupaj";"2014 Višješolska, visokošolska - Skupaj";"2014 Visokošolska 1. stopnje ipd.";"2014 Visokošolska 2. stopnje ipd.";"2014 Visokošolska 3. stopnje ipd.";"2015 Osnovnošolska ali manj - Skupaj";"2015 Srednješolska - Skupaj";"2015 Višješolska, visokošolska - Skupaj";"2015 Visokošolska 1. stopnje ipd.";"2015 Visokošolska 2. stopnje ipd.";"2015 Visokošolska 3. stopnje ipd.";"2016 Osnovnošolska ali manj - Skupaj";"2016 Srednješolska - Skupaj";"2016 Višješolska, visokošolska - Skupaj";"2016 Visokošolska 1. stopnje ipd.";"2016 Visokošolska 2. stopnje ipd.";"2016 Visokošolska 3. stopnje ipd.";"2017 Osnovnošolska ali manj - Skupaj";"2017 Srednješolska - Skupaj";"2017 Višješolska, visokošolska - Skupaj";"2017 Visokošolska 1. stopnje ipd.";"2017 Visokošolska 2. stopnje ipd.";"2017 Visokošolska 3. stopnje ipd.";"2018 Osnovnošolska ali manj - Skupaj";"2018 Srednješolska - Skupaj";"2018 Višješolska, visokošolska - Skupaj";"2018 Visokošolska 1. stopnje ipd.";"2018 Visokošolska 2. stopnje ipd.";"2018 Visokošolska 3. stopnje ipd.";"2019 Osnovnošolska ali manj - Skupaj";"2019 Srednješolska - Skupaj";"2019 Višješolska, visokošolska - Skupaj";"2019 Visokošolska 1. stopnje ipd.";"2019 Visokošolska 2. stopnje ipd.";"2019 Visokošolska 3. stopnje ipd.";"2020 Osnovnošolska ali manj - Skupaj";"2020 Srednješolska - Skupaj";"2020 Višješolska, visokošolska - Skupaj";"2020 Visokošolska 1. stopnje ipd.";"2020 Visokošolska 2. stopnje ipd.";"2020 Visokošolska 3. stopnje ipd."
"Moški";"SLOVENIJA";202797;521440;141180;58561;68435;14184;196391;524370;144838;61293;69088;14457;192138;521587;152268;67684;69405;15179;186006;522350;157266;71208;70487;15571;179435;523806;162418;74614;71755;16049;174101;522362;169996;78547;74115;17334;169101;524731;173426;80617;75148;17661;164083;535406;177778;83150;76572;18056;165039;542364;181023;85429;77384;18210
"Moški";"Ajdovšèina";2119;4859;1081;473;518;90;2009;4882;1113;498;523;92;1925;4846;1177;543;537;97;1859;4874;1207;562;542;103;1807;4922;1263;590;564;109;1770;4910;1326;635;581;110;1712;4935;1362;659;589;114;1650;5058;1406;669;612;125;1686;5132;1429;680;630;119
"Moški";"Ankaran/Ancarano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;714;357;161;156;40;285;716;372;167;158;47;289;717;376;167;157;52;268;724;371;166;156;49;250;735;364;161;153;50;255;729;369;164;153;52
"Moški";"Apaèe";542;932;92;49;39;4;524;932;99;54;42;3;514;937;106;60;43;3;489;939;111;64;44;3;468;946;117;72;41;4;441;945;128;75;46;7;423;951;129;76;47;6;415;954;136;80;49;7;406;957;142;82;52;8
"Moški";"Beltinci";1011;2115;371;192;163;16;976;2145;390;195;178;17;946;2166;409;214;178;17;923;2159;427;232;178;17;901;2170;442;238;184;20;875;2159;463;253;187;23;848;2145;469;254;191;24;807;2147;477;262;191;24;789;2134;486;274;187;25
"Moški";"Benedikt";341;605;69;36;28;5;328;616;73;39;28;6;299;635;84;48;29;7;300;628;97;59;31;7;293;634;101;61;33;7;291;640;109;60;41;8;286;657;112;64;40;8;264;689;118;65;44;9;260;718;124;69;47;8
"Moški";"Bistrica ob Sotli";201;314;64;31;31;2;200;316;68;36;30;2;189;319;68;38;27;3;194;321;71;41;28;2;187;319;76;48;27;1;178;323;73;44;28;1;175;323;75;44;30;1;157;333;72;40;31;1;147;341;76;42;32;2
"Moški";"Bled";494;2206;753;271;402;80;491;2172;759;274;400;85;495;2128;817;316;410;91;452;2098;839;330;416;93;421;2089;840;345;407;88;408;2035;885;363;427;95;387;2012;874;362;416;96;358;2011;889;370;427;92;377;2037;927;390;442;95
"Moški";"Bloke";197;413;101;48;50;3;190;422;103;46;54;3;173;413;112;53;54;5;173;409;112;55;52;5;151;415;115;58;51;6;139;422;121;60;55;6;134;416;122;65;51;6;125;439;125;65;53;7;118;454;125;67;51;7
"Moški";"Bohinj";390;1521;299;123;146;30;374;1531;308;126;150;32;377;1487;330;143;153;34;350;1466;356;156;164;36;331;1462;369;159;172;38;313;1473;384;167;173;44;310;1482;386;173;167;46;291;1485;395;186;168;41;309;1498;409;192;177;40
"Moški";"Borovnica";438;1052;217;100;101;16;395;1080;222;103;103;16;383;1094;246;119;108;19;382;1125;255;122;113;20;366;1129;273;134;117;22;347;1141;303;150;125;28;337;1136;323;163;127;33;325;1166;329;167;129;33;369;1181;341;175;131;35
"Moški";"Bovec";378;786;195;76;102;17;362;805;199;73;108;18;364;799;207;84;108;15;353;784;218;86;115;17;339;792;222;92;114;16;319;778;234;101;116;17;314;785;237;107;113;17;308;777;246;113;114;19;308;794;251;113;118;20
