"Prebivalstvo po starosti in spolu, obèine, Slovenija, 2008H1 - 2020H2"

"SPOL";"OBÈINE";"2012H1 Starost - SKUPAJ";"2012H2 Starost - SKUPAJ";"2013H1 Starost - SKUPAJ";"2013H2 Starost - SKUPAJ";"2014H1 Starost - SKUPAJ";"2014H2 Starost - SKUPAJ";"2015H1 Starost - SKUPAJ";"2015H2 Starost - SKUPAJ";"2016H1 Starost - SKUPAJ";"2016H2 Starost - SKUPAJ";"2017H1 Starost - SKUPAJ";"2017H2 Starost - SKUPAJ";"2018H1 Starost - SKUPAJ";"2018H2 Starost - SKUPAJ";"2019H1 Starost - SKUPAJ";"2019H2 Starost - SKUPAJ";"2020H1 Starost - SKUPAJ";"2020H2 Starost - SKUPAJ"
"Moški";"SLOVENIJA";1016731;1017414;1019061;1019658;1020874;1021419;1022229;1022554;1023333;1023872;1025125;1025973;1027041;1030234;1038656;1045835;1051066;1054483
"Moški";"Ajdovšèina";9586;9600;9570;9620;9543;9570;9593;9610;9621;9624;9659;9708;9699;9740;9825;9945;9965;10123
"Moški";"Ankaran/Ancarano";-;-;-;-;-;-;1585;1581;1578;1575;1586;1564;1564;1559;1554;1554;1561;1569
"Moški";"Apaèe";1803;1778;1791;1797;1800;1794;1785;1790;1779;1771;1759;1763;1755;1750;1755;1761;1765;1773
"Moški";"Beltinci";4126;4147;4132;4149;4150;4154;4133;4128;4126;4120;4109;4127;4090;4075;4051;4040;4027;4025
"Moški";"Benedikt";1242;1239;1239;1251;1243;1237;1241;1235;1241;1252;1237;1241;1256;1279;1295;1321;1335;1326
"Moški";"Bistrica ob Sotli";705;701;703;705;692;688;691;689;685;678;672;668;669;674;663;666;661;666
"Moški";"Bled";4006;3995;3990;4036;4024;3991;3969;3942;3926;3925;3907;3865;3842;3830;3843;3876;3917;3953
"Moški";"Bloke";841;843;847;846;843;838;833;819;822;821;819;820;817;814;833;841;846;861
"Moški";"Bohinj";2586;2586;2597;2588;2576;2580;2559;2561;2556;2548;2560;2567;2575;2553;2562;2577;2602;2706
"Moški";"Borovnica";1995;1998;1996;2037;2072;2098;2127;2149;2151;2155;2208;2237;2230;2226;2266;2309;2334;2357
"Moški";"Bovec";1558;1564;1574;1568;1565;1555;1550;1546;1539;1522;1512;1509;1502;1505;1502;1520;1519;1586
"Moški";"Braslovèe";2683;2708;2700;2716;2726;2735;2736;2743;2751;2789;2799;2809;2795;2783;2794;2824;2852;2843
"Moški";"Brda";2862;2856;2839;2841;2821;2823;2804;2795;2797;2804;2794;2802;2807;2815;2804;2821;2823;2824
"Moški";"Brezovica";5621;5687;5739;5767;5788;5825;5841;5873;5905;5927;5967;5987;6034;6108;6171;6261;6350;6381
"Moški";"Brežice";11946;11932;11916;11925;11965;11935;11920;11939;11957;11954;11944;11884;11879;11893;11946;12027;12016;12111
"Moški";"Cankova";922;917;912;915;906;906;903;906;895;876;881;876;863;858;851;848;844;858
"Moški";"Celje";23843;23921;23958;23997;24158;24175;24133;24178;24345;24483;24590;24662;24752;24888;24803;24945;24937;24640
"Moški";"Cerklje na Gorenjskem";3571;3579;3597;3654;3688;3693;3703;3725;3767;3766;3774;3789;3805;3812;3830;3877;3912;3924
"Moški";"Cerknica";5739;5737;5675;5694;5686;5707;5733;5750;5728;5794;5817;5813;5808;5819;5866;5913;5899;5969
"Moški";"Cerkno";2458;2455;2442;2441;2416;2403;2392;2382;2370;2367;2352;2345;2334;2324;2319;2326;2319;2339
"Moški";"Cerkvenjak";1030;1031;1022;1016;1038;1058;1073;1071;1072;1074;1097;1090;1071;1084;1095;1110;1115;1190
"Moški";"Cirkulane";1163;1161;1181;1178;1206;1204;1216;1202;1193;1204;1238;1232;1246;1267;1306;1280;1271;1294
"Moški";"Èrenšovci";2078;2057;2031;2007;2010;2011;2001;1984;1992;1968;1960;1964;1952;1976;1970;1978;1979;1993
"Moški";"Èrna na Koroškem";1813;1788;1786;1781;1744;1727;1712;1698;1705;1694;1680;1680;1677;1667;1678;1670;1671;1657
"Moški";"Èrnomelj";7426;7412;7374;7423;7411;7421;7413;7380;7333;7307;7264;7251;7265;7258;7305;7310;7262;7301
"Moški";"Destrnik";1309;1301;1291;1310;1312;1297;1291;1300;1286;1294;1296;1294;1294;1315;1321;1336;1357;1354
"Moški";"Divaèa";2039;2042;2031;2055;2058;2084;2078;2061;2061;2073;2082;2124;2134;2141;2166;2175;2211;2225
"Moški";"Dobje";479;479;476;477;471;472;479;473;470;471;477;464;464;462;469;464;465;459
"Moški";"Dobrepolje";2012;2033;2021;2015;2026;2013;2016;2019;2000;2007;2008;2018;2016;2004;2015;2011;2049;2062
"Moški";"Dobrna";1127;1119;1119;1116;1124;1112;1097;1114;1108;1132;1126;1125;1121;1124;1129;1141;1136;1138
"Moški";"Dobrova - Polhov Gradec";3740;3735;3776;3782;3742;3772;3790;3814;3804;3806;3807;3834;3836;3813;3826;3897;3940;3964
"Moški";"Dobrovnik/Dobronak";631;639;632;621;618;623;624;619;610;608;618;617;620;620;619;617;622;619
"Moški";"Dol pri Ljubljani";2785;2805;2831;2869;2891;2916;2943;2963;2964;2971;2971;2979;2996;3053;3095;3128;3131;3143
"Moški";"Dolenjske Toplice";1689;1692;1693;1682;1682;1696;1704;1703;1715;1724;1743;1722;1721;1753;1779;1795;1802;1798
"Moški";"Domžale";16869;16909;16968;17082;17127;17221;17227;17297;17367;17417;17444;17518;17543;17673;17894;18002;18151;18165
"Moški";"Dornava";1497;1480;1464;1467;1461;1462;1469;1469;1459;1469;1473;1470;1459;1473;1486;1489;1501;1511
"Moški";"Dravograd";4561;4553;4519;4489;4474;4470;4467;4453;4463;4465;4423;4421;4389;4377;4387;4432;4448;4446
"Moški";"Duplek";3291;3316;3341;3341;3350;3351;3328;3307;3303;3312;3308;3330;3358;3365;3386;3409;3468;3455
"Moški";"Gorenja vas - Poljane";3613;3626;3647;3650;3674;3701;3705;3732;3735;3754;3771;3789;3802;3810;3816;3838;3839;3869
"Moški";"Gorišnica";2006;2021;2029;2013;1988;1967;1968;1969;1981;1978;1957;1978;2016;2048;2070;2092;2108;2135
"Moški";"Gorje";1442;1425;1442;1430;1418;1411;1412;1407;1426;1424;1414;1404;1395;1395;1390;1378;1372;1374
"Moški";"Gornja Radgona";4224;4249;4250;4214;4210;4201;4204;4198;4194;4200;4187;4185;4170;4170;4170;4194;4218;4243
