"Povpreène meseène plaèe [EUR], Slovenija, meseèno"

"MESEC";"Neto plaèa"
"2021M11";1363.86
"2021M10";1218.40
"2021M09";1210.46
"2021M08";1228.05
"2021M07";1249.88
"2021M06";1256.24
"2021M05";1286.61
"2021M04";1278.89
"2021M03";1290.97
"2021M02";1253.71
"2021M01";1269.18
"2020M12";1314.62
"2020M11";1327.70
"2020M10";1181.35
"2020M09";1169.52
"2020M08";1177.88
"2020M07";1176.25
"2020M06";1175.47
"2020M05";1244.44
"2020M04";1266.13
"2020M03";1146.11
"2020M02";1169.91
"2020M01";1172.56
"2019M12";1214.93
"2019M11";1234.75
"2019M10";1122.40
"2019M09";1105.26
"2019M08";1114.16
"2019M07";1119.08
"2019M06";1107.96
"2019M05";1113.88
"2019M04";1114.98
"2019M03";1128.15
"2019M02";1108.10
"2019M01";1115.98
"2018M12";1162.67
"2018M11";1186.25
"2018M10";1086.80
"2018M09";1062.03
"2018M08";1082.88
"2018M07";1071.76
"2018M06";1073.47
"2018M05";1077.77
"2018M04";1078.95
"2018M03";1083.00
"2018M02";1066.33
"2018M01";1077.73
"2017M12";1129.76
"2017M11";1151.76
"2017M10";1056.47
"2017M09";1047.14
"2017M08";1051.73
"2017M07";1039.55
"2017M06";1045.06
"2017M05";1050.78
"2017M04";1038.05
"2017M03";1055.85
"2017M02";1034.20
"2017M01";1039.12
"2016M12";1074.27
"2016M11";1087.08
"2016M10";1020.40
"2016M09";1015.33
"2016M08";1023.28
"2016M07";1010.78
"2016M06";1018.70
"2016M05";1016.36
"2016M04";1021.74
"2016M03";1033.95
"2016M02";1022.32
"2016M01";1015.85
"2015M12";1035.58
"2015M11";1082.34
"2015M10";1007.28
"2015M09";997.77
"2015M08";998.70
"2015M07";1008.00
"2015M06";1006.71
"2015M05";1000.44
"2015M04";1008.98
"2015M03";1011.58
"2015M02";993.30
"2015M01";1006.91
"2014M12";1022.14
"2014M11";1057.26
"2014M10";1010.66
"2014M09";997.74
"2014M08";996.39
"2014M07";1006.18
"2014M06";999.16
"2014M05";1004.14
"2014M04";1004.44
"2014M03";1000.38
"2014M02";997.60
"2014M01";1009.22
"2013M12";1007.65
"2013M11";1044.89
"2013M10";999.99
"2013M09";983.30
"2013M08";989.52
"2013M07";990.88
"2013M06";982.72
"2013M05";997.13
"2013M04";993.16
"2013M03";993.70
"2013M02";982.68
"2013M01";998.18
"2012M12";1000.21
"2012M11";1035.01
"2012M10";986.81
"2012M09";972.73
"2012M08";985.55
"2012M07";976.81
"2012M06";978.99
"2012M05";996.62
"2012M04";987.67
"2012M03";995.20
"2012M02";988.47
"2012M01";993.53
"2011M12";999.33
"2011M11";1053.96
"2011M10";979.53
"2011M09";978.20
"2011M08";988.45
"2011M07";974.91
"2011M06";985.95
"2011M05";982.99
"2011M04";975.98
"2011M03";987.03
"2011M02";969.92
"2011M01";971.83
"2010M12";988.96
"2010M11";1041.19
"2010M10";964.48
"2010M09";963.84
"2010M08";964.55
"2010M07";960.14
"2010M06";965.71
"2010M05";956.55
"2010M04";960.02
"2010M03";967.32
"2010M02";930.01
"2010M01";936.77
"2009M12";957.14
"2009M11";999.49
"2009M10";935.11
"2009M09";929.36
"2009M08";918.28
"2009M07";922.14
"2009M06";924.64
"2009M05";917.56
"2009M04";920.67
"2009M03";921.69
"2009M02";898.74
"2009M01";917.15
"2008M12";938.66
"2008M11";981.58
"2008M10";917.64
"2008M09";905.13
"2008M08";909.12
"2008M07";890.24
"2008M06";883.58
"2008M05";882.94
"2008M04";879.19
"2008M03";878.73
"2008M02";864.50
"2008M01";864.43
"2007M12";870.70
"2007M11";945.34
"2007M10";846.38
"2007M09";820.47
"2007M08";833.08
"2007M07";822.68
"2007M06";817.15
"2007M05";822.34
"2007M04";807.86
"2007M03";815.34
"2007M02";792.97
"2007M01";815.68
"2006M12";818.94
"2006M11";868.78
"2006M10";777.40
"2006M09";764.58
"2006M08";771.25
"2006M07";755.31
"2006M06";760.62
"2006M05";762.13
"2006M04";745.77
"2006M03";759.40
"2006M02";742.18
"2006M01";751.93
