"Študenti višjega strokovnega in visokošolskega izobraževanja, kazalniki po obèini stalnega prebivališèa, Slovenija, letno"

"OBÈINE";"2017/18 Število študentk na 100 študentov (moški)";"2018/19 Število študentk na 100 študentov (moški)";"2019/20 Število študentk na 100 študentov (moški)";"2020/21 Število študentk na 100 študentov (moški)"
"SLOVENIJA";136;136;134;136
"Ajdovšèina";152;168;165;162
"Ankaran/Ancarano";140;161;164;181
"Apaèe";157;122;126;173
"Beltinci";165;179;161;148
"Benedikt";261;267;245;159
"Bistrica ob Sotli";176;132;112;121
"Bled";121;141;154;173
"Bloke";139;83;72;85
"Bohinj";148;127;154;158
"Borovnica";154;157;162;169
"Bovec";228;218;207;196
"Braslovèe";166;128;120;99
"Brda";144;156;175;162
"Brezovica";133;122;111;124
"Brežice";145;151;148;140
"Cankova";148;171;141;160
"Celje";130;132;133;127
"Cerklje na Gorenjskem";128;149;140;146
"Cerknica";131;162;161;175
"Cerkno";173;136;126;142
"Cerkvenjak";211;150;138;110
"Cirkulane";119;162;167;126
"Èrenšovci";218;211;183;203
"Èrna na Koroškem";117;141;124;96
"Èrnomelj";155;144;147;154
"Destrnik";147;137;109;139
"Divaèa";164;173;143;143
"Dobje";141;183;300;264
"Dobrepolje";172;184;180;172
"Dobrna";123;127;124;124
"Dobrova - Polhov Gradec";140;134;122;115
"Dobrovnik/Dobronak";88;107;108;150
"Dol pri Ljubljani";108;108;134;153
"Dolenjske Toplice";118;120;126;135
"Domžale";145;138;131;123
"Dornava";147;162;185;200
"Dravograd";156;132;131;129
"Duplek";179;158;147;160
"Gorenja vas - Poljane";156;173;186;185
"Gorišnica";89;103;124;137
"Gorje";112;113;152;153
"Gornja Radgona";140;129;144;129
"Gornji Grad";197;123;145;210
"Gornji Petrovci";155;139;175;159
"Grad";241;228;218;243
"Grosuplje";132;133;126;126
"Hajdina";109;117;98;103
"Hoèe - Slivnica";128;133;141;159
"Hodoš/Hodos";N;N;N;100
"Horjul";175;192;156;176
"Hrastnik";147;141;113;112
"Hrpelje - Kozina";119;144;147;183
"Idrija";120;121;137;131
"Ig";126;155;145;179
"Ilirska Bistrica";143;134;132;161
"Ivanèna Gorica";148;157;131;133
"Izola/Isola";128;153;136;142
"Jesenice";134;153;126;127
"Jezersko";110;110;160;186
"Juršinci";195;117;145;190
"Kamnik";145;145;147;151
"Kanal";129;117;109;114
"Kidrièevo";169;137;112;110
"Kobarid";115;132;128;139
"Kobilje";275;250;220;300
"Koèevje";143;147;160;167
"Komen";125;119;128;142
"Komenda";148;147;140;165
"Koper/Capodistria";140;145;141;138
"Kostanjevica na Krki";95;100;85;82
"Kostel";129;100;75;45
"Kozje";128;141;160;169
"Kranj";132;136;129;134
"Kranjska Gora";138;137;116;114
"Križevci";123;121;113;119
"Krško";138;138;132;132
"Kungota";99;92;95;91
"Kuzma";400;278;480;213
"Laško";153;148;142;153
"Lenart";157;164;153;124
"Lendava/Lendva";151;140;146;174
"Litija";130;133;131;141
"Ljubljana";131;129;129;129
"Ljubno";151;174;143;125
"Ljutomer";148;146;139;136
"Log - Dragomer";104;100;136;146
"Logatec";148;146;146;142
"Loška dolina";143;148;165;202
"Loški Potok";150;100;125;114
"Lovrenc na Pohorju";126;130;126;139
"Luèe";186;153;122;113
"Lukovica";161;141;131;156
"Majšperk";151;172;137;150
"Makole";154;113;139;131
"Maribor";126;125;125;128
"Markovci";150;120;139;153
"Medvode";145;143;130;130
"Mengeš";125;124;125;140
"Metlika";124;107;117;134
"Mežica";93;104;125;141
"Miklavž na Dravskem polju";110;101;119;102
"Miren - Kostanjevica";107;112;120;144
"Mirna";162;144;112;107
"Mirna Peè";122;149;145;160
"Mislinja";123;121;151;153
"Mokronog - Trebelno";136;175;138;130
"Moravèe";191;176;158;201
"Moravske Toplice";119;128;113;130
"Mozirje";143;117;128;134
"Murska Sobota";125;124;128;123
"Muta";178;231;206;229
"Naklo";120;109;108;127
"Nazarje";168;155;116;98
"Nova Gorica";138;140;134;140
"Novo mesto";132;118;121;124
"Odranci";144;161;213;213
"Oplotnica";117;122;125;108
"Ormož";165;171;148;172
"Osilnica";N;N;N;500
"Pesnica";120;137;139;128
"Piran/Pirano";128;134;138;132
"Pivka";166;153;141;156
"Podèetrtek";163;156;167;159
"Podlehnik";189;121;188;236
"Podvelka";97;103;115;112
"Poljèane";152;142;160;157
"Polzela";118;118;142;174
"Postojna";145;140;143;147
"Prebold";101;119;115;134
"Preddvor";128;188;206;170
"Prevalje";127;113;100;108
"Ptuj";125;128;134;129
"Puconci";132;148;149;169
"Raèe - Fram";108;111;119;137
"Radeèe";153;120;99;98
"Radenci";116;150;146;138
"Radlje ob Dravi";113;137;160;140
"Radovljica";125;136;142;142
"Ravne na Koroškem";123;132;117;113
"Razkrižje";143;146;114;158
"Reèica ob Savinji";171;193;140;143
"Renèe - Vogrsko";112;134;116;110
"Ribnica";160;172;148;158
"Ribnica na Pohorju";154;143;119;118
"Rogaška Slatina";125;125;135;115
"Rogašovci";185;161;146;159
"Rogatec";153;189;192;174
"Ruše";112;108;93;101
"Selnica ob Dravi";160;159;175;163
"Semiè";161;147;178;160
"Sevnica";116;119;128;134
"Sežana";124;148;169;154
"Slovenj Gradec";124;119;130;133
"Slovenska Bistrica";141;134;134;137
"Slovenske Konjice";135;129;116;114
"Sodražica";143;165;181;160
"Solèava";150;117;150;180
"Središèe ob Dravi";107;150;130;132
"Starše";149;160;145;156
"Straža";133;122;128;119
"Sveta Ana";140;165;141;165
"Sveta Trojica v Slov. goricah";107;123;143;132
"Sveti Andraž v Slov. goricah";144;124;124;131
"Sveti Jurij ob Šèavnici";207;238;204;172
"Sveti Jurij v Slov. goricah";133;148;141;206
"Sveti Tomaž";131;92;92;112
"Šalovci";118;171;167;256
"Šempeter - Vrtojba";133;132;147;162
"Šenèur";147;136;122;125
"Šentilj";165;119;137;122
"Šentjernej";114;145;143;148
"Šentjur";154;150;135;140
"Šentrupert";154;144;168;131
"Škocjan";195;184;192;184
"Škofja Loka";141;134;135;128
"Škofljica";138;128;128;143
"Šmarje pri Jelšah";167;164;182;183
"Šmarješke Toplice";135;114;143;141
"Šmartno ob Paki";135;113;134;139
"Šmartno pri Litiji";146;152;125;157
"Šoštanj";149;155;153;141
"Štore";142;115;131;128
"Tabor";180;200;191;182
"Tišina";190;175;149;120
"Tolmin";146;141;143;128
"Trbovlje";125;136;142;136
"Trebnje";140;128;132;124
"Trnovska vas";200;141;129;122
"Trzin";122;137;114;136
"Tržiè";142;132;124;135
"Turnišèe";131;129;124;137
"Velenje";123;127;129;126
"Velika Polana";193;136;164;147
"Velike Lašèe";154;170;163;170
"Veržej";150;210;175;194
"Videm";126;119;100;134
"Vipava";149;153;141;120
"Vitanje";98;150;162;181
"Vodice";97;105;116;127
"Vojnik";124;171;173;156
"Vransko";125;145;126;157
"Vrhnika";143;156;143;133
"Vuzenica";154;117;141;142
"Zagorje ob Savi";144;157;150;145
"Zavrè";233;188;179;200
"Zreèe";138;147;142;153
"Žalec";141;134;126;128
"Železniki";121;131;146;136
"Žetale";208;233;100;129
"Žiri";173;172;203;176
"Žirovnica";127;114;123;135
"Žužemberk";152;181;183;194
