obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Ajdovščina,Goriška,2012,Moški, Osnovnošolska ali manj - Skupaj,2119,9593,22.09
Ajdovščina,Goriška,2012,Moški, Srednješolska - Skupaj,4859,9593,50.65
Ajdovščina,Goriška,2012,Moški," Višješolska, visokošolska - Skupaj",1081,9593,11.27
Ajdovščina,Goriška,2012,Moški, Visokošolska 1. stopnje ipd.,473,9593,4.93
Ajdovščina,Goriška,2012,Moški, Visokošolska 2. stopnje ipd.,518,9593,5.4
Ajdovščina,Goriška,2012,Moški, Visokošolska 3. stopnje ipd.,90,9593,0.94
Ajdovščina,Goriška,2012,Ženske, Osnovnošolska ali manj - Skupaj,3102,9394,33.02
Ajdovščina,Goriška,2012,Ženske, Srednješolska - Skupaj,3203,9394,34.1
Ajdovščina,Goriška,2012,Ženske," Višješolska, visokošolska - Skupaj",1621,9394,17.26
Ajdovščina,Goriška,2012,Ženske, Visokošolska 1. stopnje ipd.,696,9394,7.41
Ajdovščina,Goriška,2012,Ženske, Visokošolska 2. stopnje ipd.,847,9394,9.02
Ajdovščina,Goriška,2012,Ženske, Visokošolska 3. stopnje ipd.,78,9394,0.83
Ajdovščina,Goriška,2013,Moški, Osnovnošolska ali manj - Skupaj,2009,9595,20.94
Ajdovščina,Goriška,2013,Moški, Srednješolska - Skupaj,4882,9595,50.88
Ajdovščina,Goriška,2013,Moški," Višješolska, visokošolska - Skupaj",1113,9595,11.6
Ajdovščina,Goriška,2013,Moški, Visokošolska 1. stopnje ipd.,498,9595,5.19
Ajdovščina,Goriška,2013,Moški, Visokošolska 2. stopnje ipd.,523,9595,5.45
Ajdovščina,Goriška,2013,Moški, Visokošolska 3. stopnje ipd.,92,9595,0.96
Ajdovščina,Goriška,2013,Ženske, Osnovnošolska ali manj - Skupaj,3021,9394,32.16
Ajdovščina,Goriška,2013,Ženske, Srednješolska - Skupaj,3227,9394,34.35
